GI - Code,Barangay,Classification,GI - Date,GI - Interviewer,"GI - Remarks (Small, Medium, Large, Residential)",GI - Business Name/Residential Name/Contact number,GI - Business Location/Address,GI - Type of Business,GI - No. of Employees,GI - Operating Hours - Start,GI - Operating Hours - End,CWSU-1 - Usage - Specify,GI - Members,CWSU-1 - Usage - Drinking,CWSU-1 - Usage - Food preparation,CWSU-1 - Usage - Cleaning & Sanitation,CWSU-1 - Usage - Manufacturing/Production,CWSU-1 - Usage - Landscaping/Irrigation,CWSU-1 - Usage - Others,CWSU-2 - Treatment,CWSU-3 - Current Sources - Tap Water (Water District etc.),CWSU-3 - Current Sources - Deep Well (owned),CWSU-3 - Current Sources - Truck Delivery Services (5 m3),CWSU-3 - Current Sources - Bottled water (5 gallons),CWSU-3 - Current Sources - Others,"CWSU-3 - Current Sources - (If others, please specify)",CWSU-4 - Primary Drinking Source - Tap Water (Water District etc.),CWSU-4 - Primary Drinking Source - Deep Well (owned),CWSU-4 - Primary Drinking Source - Truck Delivery Services (5 m3),CWSU-4 - Primary Drinking Source - Bottled water (5 gallons),CWSU-4 - Primary Drinking Source - Others,"CWSU-4 - Primary Drinking Source - (If others, please specify)",CWSU-4 - Primary Drinking Source - gals,CWSU-5 - Ave Demand (in cbm),CWSU-6 - Actual Use (m3 / gal) - Tap Water (Water District etc.),CWSU-6 - Actual Use (m3 / gal) - Deep Well (owned),CWSU-6 - Actual Use (m3 / gal) - Truck Delivery Services (5 m3),CWSU-6 - Actual Use (m3 / gal) - Bottled water (5 gallons),CWSU-6 - Actual Use (m3 / gal) - Others (gallons),CWSU-7 - Peak Month - Start,CWSU-7 - Peak Month - End,"CWSU-8 - Monthly Costs - Less than PhP 1,000","CWSU-8 - Monthly Costs - PhP 1,000 - PhP 3,000","CWSU-8 - Monthly Costs - PhP 3,000 - PhP 5,000","CWSU-8 - Monthly Costs - PhP 5,000 - PhP 10,000","CWSU-8 - Monthly Costs - PhP 10,000 and above",CWSU-8 - Monthly Costs - Water Bottles,CWSU-8 - Monthly Costs - Truck Delivery,CWSU-8 - Monthly Costs - Others:,"CWSU-8 - Monthly Costs - If others, input here",CWSU-9 - Issues (Tap Water) - Yes,CWSU-9 - Issues (Tap Water) - No,CWSU-9 - Issues (Tap Water) - N/A,CWSU-9 - Issues (Tap Water) - Supply interruption,CWSU-9 - Issues (Tap Water) - Salinity,CWSU-9 - Issues (Tap Water) - Taste,CWSU-9 - Issues (Tap Water) - Smell,CWSU-9 - Issues (Tap Water) - Turbidity,CWSU-9 - Issues (Tap Water) - Costs,CWSU-9 - Issues (Tap Water) - Others,"CWSU-9 - Issues (Tap Water) - If others, input here",CWSU-10 - Issues (Deep Well) - Yes,CWSU-10 - Issues (Deep Well) - No,CWSU-10 - Issues (Deep Well) - N/A,CWSU-10 - Issues (Deep Well) - Supply interruption,CWSU-10 - Issues (Deep Well) - Salinity,CWSU-10 - Issues (Deep Well) - Taste,CWSU-10 - Issues (Deep Well) - Smell,CWSU-10 - Issues (Deep Well) - Turbidity,CWSU-10 - Issues (Deep Well) - Costs,CWSU-10 - Issues (Deep Well) - Others,"CWSU-10 - Issues (Deep Well) - If others, input here",CWSU-11 - Issues (Truck Water) - Yes,CWSU-11 - Issues (Truck Water) - No,CWSU-11 - Issues (Truck Water) - N/A,CWSU-11 - Issues (Truck Water) - Supply interruption,CWSU-11 - Issues (Truck Water) - Salinity,CWSU-11 - Issues (Truck Water) - Taste,CWSU-11 - Issues (Truck Water) - Smell,CWSU-11 - Issues (Truck Water) - Turbidity,CWSU-11 - Issues (Truck Water) - Costs,CWSU-11 - Issues (Truck Water) - Others,"CWSU-11 - Issues (Truck Water) - If others, input here",CWSU-12 - Issues (Bottled Water) - Yes,CWSU-12 - Issues (Bottled Water) - No,CWSU-12 - Issues (Bottled Water) - N/A,"CWSU-12 - Issues (Bottled Water) - If yes, select all that apply",CWSU-12 - Issues (Bottled Water) - Supply interruption,CWSU-12 - Issues (Bottled Water) - Salinity,CWSU-12 - Issues (Bottled Water) - Taste,CWSU-12 - Issues (Bottled Water) - Smell,CWSU-12 - Issues (Bottled Water) - Turbidity,CWSU-12 - Issues (Bottled Water) - Costs,CWSU-12 - Issues (Bottled Water) - Others,"CWSU-12 - Issues (Bottled Water) - If others, input here",CWSU-13 - Interruptions (days) - We have continuous water supply everyday,CWSU-13 - Interruptions (days) - Once a week,CWSU-13 - Interruptions (days) - Twice a week,CWSU-13 - Interruptions (days) - Thrice a week,CWSU-13 - Interruptions (days) - Others,CWSU-13 - Interruptions (days) - How many hours per day do you experience water interruption?,AWTP-14 - Factors affecting Alt Sources - Cost-effectiveness,AWTP-14 - Factors affecting Alt Sources - Reliability (consistent supply),AWTP-14 - Factors affecting Alt Sources - Water Quality (Clean and safe),AWTP-14 - Factors affecting Alt Sources - Costumer service and maintenance support,AWTP-14 - Factors affecting Alt Sources - Others,"AWTP-14 - Factors affecting Alt Sources - If others, input here",AWTP-15 - Desalination Awareness - Yes,AWTP-15 - Desalination Awareness - No,AWTP-16 - Desalinated Willingness - Yes,AWTP-16 - Desalinated Willingness - No,AWTP-17 - Desalinated Premium Pay - Yes,AWTP-17 - Desalinated Premium Pay - No,AWTP-17 - Desalinated Premium Pay - Depends on the cost difference,"AWTP-17 - Desalinated Premium Pay - If yes, in what payment structure",AWTP-17 - Desalinated Premium Pay - Fixed tariff,AWTP-17 - Desalinated Premium Pay - Tiered pricing,AWTP-17 - Desalinated Premium Pay - Pay per use,AWTP-17 - Desalinated Premium Pay - Seasonal,AWTP - Max Price - Commercial - 160,AWTP - Max Price - Commercial - 200,AWTP - Max Price - Commercial - 100,AWTP-19 - Max Price - Commercial - Others,AWTP-19 - Max Price - Residential - 50,AWTP-19 - Max Price - Residential - 80,AWTP-19 - Max Price - Residential - 100,AWTP-19 - Max Price - Residential - Others,AWTP-20 - Budget - < 3000,AWTP-20 - Budget - 3000 - 6000,AWTP-20 - Budget - 6000 - 9000,AWTP-20 - Budget - 9000 - 15000,AWTP-20 - Budget - Others,AWTP-21 - Concerns,WTP_Comm,WTP_Resi,Desalination Awareness,Desalinated Willingness,Desalinated Premium Pay,Max Price (Commercial),Max Price (Residential),Budget,AWTP-20 - Budget - Others_numeric
BI-1R,BARANGAY I,Residential,7/6/25,Mary Josie Fontanillla,Residential,Ross Carino,Zone 5 Lubrin Heights,0,0,0,0,0,6.0,0,1,1,0,0.0,0,0,0,0,0.0,0,0.0,Pump Well,0,0,0,1,0.0,0,20.0,3.75,0.0,0.0,0.0,0.0,0.0,Feb,June,0,0,0,0,0,600,0,0,0,0,0,1,0,0,0,0,0,FALSE,1,Not enough water in well,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Only Summer,0,0,1,0,0,0,1,0,0,1,0,1,1,0.0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,600,0,0.0,0.0,1,1,2,0.0,0.0,600.0,600.0
BI-2R,BARANGAY I,Residential,7/6/25,Mary Josie Fontanillla,Residential,Ram Garcia,0,0,0,0,0,0,5.0,0,1,1,0,0.0,0,0,0,1,1.0,0,0.0,0,0,0,0,1,0.0,0,24.0,3.75,0.0,0.0,15.0,0.0,0.0,March,June,0,0,0,0,0,180,2800,0,0,0,1,0,0,0,0,0,0,FALSE,0,0,1,0,0,0,0,0,0,0,0,1,Nauubos ang tubig sa poso,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,Malinis,0,0,1,0,0,natyanan,1,1,1,0,0,0,1,0,0,1,1,0,0,0.0,0,1,0,1,0,0,1,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0,0,100.0,100.0,1,1,1,100.0,100.0,1500.0,0.0
BI-3R,BARANGAY I,Residential,7/6/25,Mary Josie Fontanillla,Residential,Sharie Jane Abando,0,0,0,0,0,0,2.0,0,1,1,0,0.0,0,0,0,1,0.0,0,0.0,0,0,0,0,1,0.0,0,12.0,22.5,0.0,0.0,0.0,0.0,0.0,March,June,0,0,0,0,0,360,0,0,0,0,0,1,0,0,0,0,0,FALSE,1,Walang gripo,0,1,0,0,0,0,0,0,0,1,Tag-init lang,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tag-init lang,1,1,1,0,0,0,0,1,0,1,1,0,1,0.0,0,0,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,160.0,80.0,1,1,2,160.0,80.0,0.0,0.0
BI-4R,BARANGAY I,Residential,7/6/25,Mary Josie Fontanillla,Residential,Malidale Muna,0,0,0,0,0,0,5.0,0,1,1,0,0.0,0,0,0,1,0.0,0,0.0,0,0,0,0,1,0.0,0,8.0,7.5,0.0,0.0,0.0,0.0,0.0,March,June,0,0,0,0,0,120,0,0,0,0,1,0,0,0,0,0,0,FALSE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,500,Mabuti,0.0,0.0,1,1,1,0.0,0.0,500.0,500.0
BI-5R,BARANGAY I,Residential,7/6/25,Mary Josie Fontanillla,Residential,Lovely Colet,0,0,0,0,0,0,0.0,1,1,1,0,0.0,0,0,0,1,0.0,0,0.0,Sharing,0,0,0,1,0.0,0,12.0,22.5,0.0,0.0,0.0,0.0,0.0,March,June,0,0,0,0,0,360,0,0,0,0,1,0,0,0,0,0,0,FALSE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wala,1,1,1,0,0,0,1,0,0,1,0,1,1,0.0,0,0,0,0,1,0,0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,160.0,50.0,1,1,2,160.0,50.0,0.0,0.0
BI-6R,BARANGAY I,Residential,7/6/25,Mary Josie Fontanillla,Residential,Valencia Jay-r,0,0,0,0,0,0,5.0,1,1,1,0,0.0,0,0,0,0,1.0,0,0.0,0,0,0,0,1,0.0,0,8.0,0,0.0,0.0,0.0,0.0,0.0,Feb,June,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,FALSE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wala,1,1,1,0,0,0,1,0,0,1,1,0,1,0.0,0,0,1,0,0,0,1,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0,0,100.0,100.0,1,1,2,100.0,100.0,1500.0,0.0
BI-7R,BARANGAY I,Residential,8/6/25,Mary Josie Fontanillla,Residential,Mila ANcheta,0,0,0,0,0,0,4.0,1,1,1,0,0.0,0,0,0,0,1.0,0,0.0,0,0,0,0,1,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,March,June,0,1,0,0,0,0,1400,0,0,1,0,0,0,0,0,0,0,FALSE,0,0,1,0,0,0,0,0,0,0,0,1,By Schedule,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0.0,0,0,1,0,1,0,0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,500,0,160.0,50.0,1,1,1,160.0,50.0,500.0,500.0
BI-8R,BARANGAY I,Residential,8/6/25,Mary Josie Fontanillla,Residential,Alejo Ducusin,0,0,0,0,0,0,6.0,1,1,1,0,0.0,0,0,0,1,0.0,0,0.0,0,0,0,0,1,0.0,0,8.0,0,0.0,0.0,0.0,0.0,0.0,March,March,0,0,0,0,0,240,0,0,0,0,1,0,0,0,0,0,0,FALSE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,Free water delivery in summer,0.0,0.0,1,1,2,0.0,0.0,0.0,0.0
BI-9R,BARANGAY I,Residential,8/6/25,Mary Josie Fontanillla,Residential,Manuel Cauga,0,0,0,0,0,0,4.0,1,1,1,0,0.0,0,0,0,1,0.0,0,0.0,0,0,0,0,0,0.0,0,16.0,0,0.0,0.0,0.0,0.0,0.0,March,May,0,0,0,0,0,480,0,0,0,0,1,0,0,0,0,0,0,FALSE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0.0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,Not sure kasi may laman pa ang pump well,100.0,0.0,1,1,2,100.0,0.0,0.0,0.0
BI-10R,BARANGAY I,Residential,8/6/25,Mary Josie Fontanillla,Residential,Larry Canono,Brgy I,0,0,0,0,0,4.0,1,1,1,0,0.0,0,0,0,1,0.0,0,0.0,0,0,0,0,1,0.0,0,12.0,0,0.0,0.0,0.0,0.0,0.0,March,June,0,0,0,0,0,360,0,0,0,0,1,0,0,0,0,0,0,FALSE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0.0,0,0,0,0,0,0,1,0.0,0.0,0.0,1.0,0.0,0,0,0,0,Depends on everyday consume,"Kung maganda, okay.",100.0,100.0,1,1,2,100.0,100.0,,0.0
